=================================================================
Layer (type:depth-idx)                   Param #
=================================================================
CNN                                      --
├─Sequential: 1-1                        --
│    └─Conv2d: 2-1                       1,792
│    └─GroupNorm: 2-2                    128
│    └─ReLU: 2-3                         --
│    └─Conv2d: 2-4                       36,928
│    └─GroupNorm: 2-5                    128
│    └─ReLU: 2-6                         --
│    └─MaxPool2d: 2-7                    --
│    └─Conv2d: 2-8                       73,856
│    └─GroupNorm: 2-9                    256
│    └─ReLU: 2-10                        --
│    └─Conv2d: 2-11                      147,584
│    └─GroupNorm: 2-12                   256
│    └─ReLU: 2-13                        --
│    └─MaxPool2d: 2-14                   --
│    └─Conv2d: 2-15                      295,168
│    └─GroupNorm: 2-16                   512
│    └─ReLU: 2-17                        --
│    └─Conv2d: 2-18                      590,080
│    └─GroupNorm: 2-19                   512
│    └─ReLU: 2-20                        --
│    └─Conv2d: 2-21                      590,080
│    └─GroupNorm: 2-22                   512
│    └─ReLU: 2-23                        --
│    └─MaxPool2d: 2-24                   --
│    └─Conv2d: 2-25                      1,180,160
│    └─GroupNorm: 2-26                   1,024
│    └─ReLU: 2-27                        --
│    └─Conv2d: 2-28                      2,359,808
│    └─GroupNorm: 2-29                   1,024
│    └─ReLU: 2-30                        --
│    └─Conv2d: 2-31                      2,359,808
│    └─GroupNorm: 2-32                   1,024
│    └─ReLU: 2-33                        --
│    └─MaxPool2d: 2-34                   --
├─Sequential: 1-2                        --
│    └─Linear: 2-35                      8,392,704
│    └─ReLU: 2-36                        --
│    └─Dropout: 2-37                     --
│    └─Linear: 2-38                      16,781,312
│    └─ReLU: 2-39                        --
│    └─Dropout: 2-40                     --
│    └─Linear: 2-41                      4,097,000
│    └─ReLU: 2-42                        --
│    └─Dropout: 2-43                     --
│    └─Linear: 2-44                      14,014
=================================================================
Total params: 36,925,670
Trainable params: 36,925,670
Non-trainable params: 0
=================================================================
TRAINING - Epoch 0 Batch 0: loss 0.04925793036818504, f1 0.121,  prec 0.071, rec 0.418
VALIDATION - Epoch 129 Batch 0: loss 0.025225289165973663, f1 0.484, prec 0.688, rec 0.374
VALIDATION - Epoch 129 Batch 10: loss 0.024097878485918045, f1 0.438, prec 0.78, rec 0.305
VALIDATION - Epoch 129 Batch 20: loss 0.024092180654406548, f1 0.446, prec 0.755, rec 0.317
TRAINING - Epoch 130 Batch 0: loss 0.020723283290863037, f1 0.467,  prec 0.711, rec 0.347
TRAINING - Epoch 130 Batch 10: loss 0.021419305354356766, f1 0.427,  prec 0.894, rec 0.28
TRAINING - Epoch 130 Batch 20: loss 0.020030666142702103, f1 0.537,  prec 0.661, rec 0.453
TRAINING - Epoch 130 Batch 30: loss 0.020533496513962746, f1 0.463,  prec 0.798, rec 0.326
TRAINING - Epoch 130 Batch 40: loss 0.020475637167692184, f1 0.462,  prec 0.688, rec 0.348
TRAINING - Epoch 130 Batch 50: loss 0.02104955166578293, f1 0.511,  prec 0.729, rec 0.393
VALIDATION - Epoch 130 Batch 0: loss 0.020371388643980026, f1 0.448, prec 0.759, rec 0.318
VALIDATION - Epoch 130 Batch 10: loss 0.024561014026403427, f1 0.408, prec 0.794, rec 0.275
VALIDATION - Epoch 130 Batch 20: loss 0.024884643033146858, f1 0.364, prec 0.639, rec 0.255
TRAINING - Epoch 131 Batch 0: loss 0.018522173166275024, f1 0.522,  prec 0.766, rec 0.396
TRAINING - Epoch 131 Batch 10: loss 0.018320467323064804, f1 0.526,  prec 0.754, rec 0.404
TRAINING - Epoch 131 Batch 20: loss 0.022163743153214455, f1 0.516,  prec 0.764, rec 0.39
TRAINING - Epoch 131 Batch 30: loss 0.02147797681391239, f1 0.511,  prec 0.807, rec 0.373
TRAINING - Epoch 131 Batch 40: loss 0.018432462587952614, f1 0.411,  prec 0.713, rec 0.289
TRAINING - Epoch 131 Batch 50: loss 0.021306883543729782, f1 0.571,  prec 0.644, rec 0.514
VALIDATION - Epoch 131 Batch 0: loss 0.027179071679711342, f1 0.252, prec 0.776, rec 0.151
VALIDATION - Epoch 131 Batch 10: loss 0.02563617378473282, f1 0.301, prec 0.887, rec 0.181
VALIDATION - Epoch 131 Batch 20: loss 0.025425110012292862, f1 0.314, prec 0.895, rec 0.19
TRAINING - Epoch 132 Batch 0: loss 0.021235624328255653, f1 0.367,  prec 0.919, rec 0.229
TRAINING - Epoch 132 Batch 10: loss 0.019143380224704742, f1 0.497,  prec 0.744, rec 0.373
TRAINING - Epoch 132 Batch 20: loss 0.02024809457361698, f1 0.503,  prec 0.758, rec 0.376
TRAINING - Epoch 132 Batch 30: loss 0.019018778577446938, f1 0.522,  prec 0.887, rec 0.37
TRAINING - Epoch 132 Batch 40: loss 0.01998254470527172, f1 0.494,  prec 0.77, rec 0.363
TRAINING - Epoch 132 Batch 50: loss 0.021725643426179886, f1 0.474,  prec 0.768, rec 0.343
VALIDATION - Epoch 132 Batch 0: loss 0.02626888081431389, f1 0.343, prec 0.689, rec 0.229
VALIDATION - Epoch 132 Batch 10: loss 0.02306876890361309, f1 0.33, prec 0.711, rec 0.215
VALIDATION - Epoch 132 Batch 20: loss 0.021680708974599838, f1 0.359, prec 0.775, rec 0.234
TRAINING - Epoch 133 Batch 0: loss 0.018132641911506653, f1 0.448,  prec 0.762, rec 0.317
TRAINING - Epoch 133 Batch 10: loss 0.019510218873620033, f1 0.421,  prec 0.837, rec 0.281
TRAINING - Epoch 133 Batch 20: loss 0.020634889602661133, f1 0.484,  prec 0.746, rec 0.358
TRAINING - Epoch 133 Batch 30: loss 0.020541200414299965, f1 0.503,  prec 0.748, rec 0.378
TRAINING - Epoch 133 Batch 40: loss 0.021039355546236038, f1 0.4,  prec 0.874, rec 0.259
TRAINING - Epoch 133 Batch 50: loss 0.02112654224038124, f1 0.524,  prec 0.786, rec 0.393
VALIDATION - Epoch 133 Batch 0: loss 0.02318612113595009, f1 0.417, prec 0.667, rec 0.303
VALIDATION - Epoch 133 Batch 10: loss 0.022967007011175156, f1 0.347, prec 0.698, rec 0.231
VALIDATION - Epoch 133 Batch 20: loss 0.02366136573255062, f1 0.454, prec 0.684, rec 0.339
TRAINING - Epoch 134 Batch 0: loss 0.019328812137246132, f1 0.509,  prec 0.647, rec 0.419
TRAINING - Epoch 134 Batch 10: loss 0.01908828690648079, f1 0.45,  prec 0.812, rec 0.311
TRAINING - Epoch 134 Batch 20: loss 0.01874467357993126, f1 0.489,  prec 0.769, rec 0.359
TRAINING - Epoch 134 Batch 30: loss 0.020318977534770966, f1 0.483,  prec 0.758, rec 0.355
TRAINING - Epoch 134 Batch 40: loss 0.019717032089829445, f1 0.475,  prec 0.802, rec 0.337
TRAINING - Epoch 134 Batch 50: loss 0.018702149391174316, f1 0.499,  prec 0.742, rec 0.375
VALIDATION - Epoch 134 Batch 0: loss 0.024511026218533516, f1 0.357, prec 0.652, rec 0.246
VALIDATION - Epoch 134 Batch 10: loss 0.022494329139590263, f1 0.382, prec 0.66, rec 0.268
VALIDATION - Epoch 134 Batch 20: loss 0.023809557780623436, f1 0.485, prec 0.856, rec 0.339
TRAINING - Epoch 135 Batch 0: loss 0.017505651339888573, f1 0.495,  prec 0.759, rec 0.368
TRAINING - Epoch 135 Batch 10: loss 0.017911536619067192, f1 0.558,  prec 0.73, rec 0.451
TRAINING - Epoch 135 Batch 20: loss 0.018259622156620026, f1 0.519,  prec 0.77, rec 0.391
TRAINING - Epoch 135 Batch 30: loss 0.020476028323173523, f1 0.413,  prec 0.848, rec 0.273
TRAINING - Epoch 135 Batch 40: loss 0.019044063985347748, f1 0.553,  prec 0.772, rec 0.431
TRAINING - Epoch 135 Batch 50: loss 0.02033066377043724, f1 0.388,  prec 0.79, rec 0.257
VALIDATION - Epoch 135 Batch 0: loss 0.025568244978785515, f1 0.373, prec 0.729, rec 0.251
VALIDATION - Epoch 135 Batch 10: loss 0.023754948750138283, f1 0.407, prec 0.78, rec 0.275
VALIDATION - Epoch 135 Batch 20: loss 0.026203658431768417, f1 0.349, prec 0.732, rec 0.229
TRAINING - Epoch 136 Batch 0: loss 0.020579202100634575, f1 0.442,  prec 0.816, rec 0.303
TRAINING - Epoch 136 Batch 10: loss 0.018166055902838707, f1 0.532,  prec 0.705, rec 0.427
TRAINING - Epoch 136 Batch 20: loss 0.017533166334033012, f1 0.444,  prec 0.694, rec 0.326
TRAINING - Epoch 136 Batch 30: loss 0.018524788320064545, f1 0.478,  prec 0.742, rec 0.352
TRAINING - Epoch 136 Batch 40: loss 0.018958933651447296, f1 0.478,  prec 0.742, rec 0.353
TRAINING - Epoch 136 Batch 50: loss 0.019886111840605736, f1 0.548,  prec 0.779, rec 0.423
VALIDATION - Epoch 136 Batch 0: loss 0.02854226715862751, f1 0.373, prec 0.75, rec 0.248
VALIDATION - Epoch 136 Batch 10: loss 0.023740461096167564, f1 0.396, prec 0.763, rec 0.267
VALIDATION - Epoch 136 Batch 20: loss 0.02785228192806244, f1 0.373, prec 0.819, rec 0.241
TRAINING - Epoch 137 Batch 0: loss 0.019772369414567947, f1 0.441,  prec 0.765, rec 0.31
TRAINING - Epoch 137 Batch 10: loss 0.02007225714623928, f1 0.543,  prec 0.781, rec 0.416
TRAINING - Epoch 137 Batch 20: loss 0.01633336767554283, f1 0.572,  prec 0.784, rec 0.45
TRAINING - Epoch 137 Batch 30: loss 0.018450800329446793, f1 0.532,  prec 0.776, rec 0.404
TRAINING - Epoch 137 Batch 40: loss 0.018486402928829193, f1 0.536,  prec 0.77, rec 0.411
TRAINING - Epoch 137 Batch 50: loss 0.017706166952848434, f1 0.521,  prec 0.772, rec 0.394
VALIDATION - Epoch 137 Batch 0: loss 0.0225604809820652, f1 0.49, prec 0.635, rec 0.399
VALIDATION - Epoch 137 Batch 10: loss 0.02659226767718792, f1 0.461, prec 0.641, rec 0.36
VALIDATION - Epoch 137 Batch 20: loss 0.023654062300920486, f1 0.481, prec 0.675, rec 0.373
TRAINING - Epoch 138 Batch 0: loss 0.019495541229844093, f1 0.533,  prec 0.63, rec 0.462
TRAINING - Epoch 138 Batch 10: loss 0.018593810498714447, f1 0.511,  prec 0.702, rec 0.402
TRAINING - Epoch 138 Batch 20: loss 0.025796128436923027, f1 0.399,  prec 0.835, rec 0.262
TRAINING - Epoch 138 Batch 30: loss 0.01866287738084793, f1 0.544,  prec 0.704, rec 0.443
TRAINING - Epoch 138 Batch 40: loss 0.017841119319200516, f1 0.497,  prec 0.76, rec 0.369
TRAINING - Epoch 138 Batch 50: loss 0.01858198270201683, f1 0.519,  prec 0.782, rec 0.388
VALIDATION - Epoch 138 Batch 0: loss 0.023969797417521477, f1 0.44, prec 0.814, rec 0.302
VALIDATION - Epoch 138 Batch 10: loss 0.022292133420705795, f1 0.334, prec 0.688, rec 0.221
VALIDATION - Epoch 138 Batch 20: loss 0.0248444564640522, f1 0.396, prec 0.724, rec 0.272
TRAINING - Epoch 139 Batch 0: loss 0.01751694642007351, f1 0.425,  prec 0.705, rec 0.305
TRAINING - Epoch 139 Batch 10: loss 0.021731657907366753, f1 0.528,  prec 0.677, rec 0.433
TRAINING - Epoch 139 Batch 20: loss 0.018911905586719513, f1 0.441,  prec 0.852, rec 0.298
TRAINING - Epoch 139 Batch 30: loss 0.017729783430695534, f1 0.474,  prec 0.794, rec 0.337
TRAINING - Epoch 139 Batch 40: loss 0.01925204135477543, f1 0.517,  prec 0.731, rec 0.4
TRAINING - Epoch 139 Batch 50: loss 0.02175522968173027, f1 0.471,  prec 0.674, rec 0.362
VALIDATION - Epoch 139 Batch 0: loss 0.026886051520705223, f1 0.228, prec 0.841, rec 0.132
VALIDATION - Epoch 139 Batch 10: loss 0.02641783095896244, f1 0.268, prec 0.872, rec 0.158
VALIDATION - Epoch 139 Batch 20: loss 0.025409528985619545, f1 0.31, prec 0.922, rec 0.187
TRAINING - Epoch 140 Batch 0: loss 0.02002613991498947, f1 0.34,  prec 0.961, rec 0.207
TRAINING - Epoch 140 Batch 10: loss 0.017457691952586174, f1 0.599,  prec 0.811, rec 0.475
TRAINING - Epoch 140 Batch 20: loss 0.018855271860957146, f1 0.464,  prec 0.792, rec 0.328
TRAINING - Epoch 140 Batch 30: loss 0.019009197130799294, f1 0.553,  prec 0.764, rec 0.433
TRAINING - Epoch 140 Batch 40: loss 0.020028134807944298, f1 0.523,  prec 0.748, rec 0.402
TRAINING - Epoch 140 Batch 50: loss 0.02401665411889553, f1 0.383,  prec 0.707, rec 0.262
VALIDATION - Epoch 140 Batch 0: loss 0.028455521911382675, f1 0.338, prec 0.779, rec 0.216
VALIDATION - Epoch 140 Batch 10: loss 0.023226236924529076, f1 0.366, prec 0.784, rec 0.239
VALIDATION - Epoch 140 Batch 20: loss 0.023377591744065285, f1 0.365, prec 0.8, rec 0.236
TRAINING - Epoch 141 Batch 0: loss 0.01783420518040657, f1 0.488,  prec 0.838, rec 0.344
TRAINING - Epoch 141 Batch 10: loss 0.019090836867690086, f1 0.508,  prec 0.602, rec 0.439
TRAINING - Epoch 141 Batch 20: loss 0.019013522192835808, f1 0.517,  prec 0.85, rec 0.371
TRAINING - Epoch 141 Batch 30: loss 0.021255843341350555, f1 0.446,  prec 0.895, rec 0.297
TRAINING - Epoch 141 Batch 40: loss 0.020703937858343124, f1 0.495,  prec 0.652, rec 0.399
TRAINING - Epoch 141 Batch 50: loss 0.01867217756807804, f1 0.535,  prec 0.727, rec 0.423
VALIDATION - Epoch 141 Batch 0: loss 0.02299528941512108, f1 0.413, prec 0.735, rec 0.287
VALIDATION - Epoch 141 Batch 10: loss 0.023125896230340004, f1 0.391, prec 0.775, rec 0.261
VALIDATION - Epoch 141 Batch 20: loss 0.022278588265180588, f1 0.385, prec 0.688, rec 0.267
TRAINING - Epoch 142 Batch 0: loss 0.01845504902303219, f1 0.5,  prec 0.727, rec 0.381
TRAINING - Epoch 142 Batch 10: loss 0.020478002727031708, f1 0.451,  prec 0.695, rec 0.333
TRAINING - Epoch 142 Batch 20: loss 0.019929004833102226, f1 0.571,  prec 0.655, rec 0.506
TRAINING - Epoch 142 Batch 30: loss 0.016673225909471512, f1 0.423,  prec 0.835, rec 0.283
TRAINING - Epoch 142 Batch 40: loss 0.01945970579981804, f1 0.531,  prec 0.702, rec 0.426
TRAINING - Epoch 142 Batch 50: loss 0.01935369335114956, f1 0.567,  prec 0.71, rec 0.472
VALIDATION - Epoch 142 Batch 0: loss 0.02141053043305874, f1 0.475, prec 0.717, rec 0.355
VALIDATION - Epoch 142 Batch 10: loss 0.024304067716002464, f1 0.437, prec 0.701, rec 0.318
VALIDATION - Epoch 142 Batch 20: loss 0.024770589545369148, f1 0.416, prec 0.643, rec 0.308
TRAINING - Epoch 143 Batch 0: loss 0.020576953887939453, f1 0.571,  prec 0.719, rec 0.473
TRAINING - Epoch 143 Batch 10: loss 0.02309722639620304, f1 0.394,  prec 0.824, rec 0.259
TRAINING - Epoch 143 Batch 20: loss 0.019397294148802757, f1 0.494,  prec 0.742, rec 0.371
TRAINING - Epoch 143 Batch 30: loss 0.01878662221133709, f1 0.452,  prec 0.759, rec 0.322
TRAINING - Epoch 143 Batch 40: loss 0.01741473376750946, f1 0.565,  prec 0.797, rec 0.438
TRAINING - Epoch 143 Batch 50: loss 0.019887741655111313, f1 0.487,  prec 0.767, rec 0.357
VALIDATION - Epoch 143 Batch 0: loss 0.02444489672780037, f1 0.378, prec 0.723, rec 0.256
VALIDATION - Epoch 143 Batch 10: loss 0.023285511881113052, f1 0.386, prec 0.779, rec 0.257
VALIDATION - Epoch 143 Batch 20: loss 0.022537386044859886, f1 0.388, prec 0.742, rec 0.262
TRAINING - Epoch 144 Batch 0: loss 0.01890971139073372, f1 0.441,  prec 0.792, rec 0.305
TRAINING - Epoch 144 Batch 10: loss 0.016550585627555847, f1 0.525,  prec 0.787, rec 0.393
TRAINING - Epoch 144 Batch 20: loss 0.02175324223935604, f1 0.326,  prec 0.72, rec 0.211
TRAINING - Epoch 144 Batch 30: loss 0.01890195906162262, f1 0.563,  prec 0.723, rec 0.461
TRAINING - Epoch 144 Batch 40: loss 0.02246917225420475, f1 0.431,  prec 0.824, rec 0.292
TRAINING - Epoch 144 Batch 50: loss 0.02082555927336216, f1 0.532,  prec 0.646, rec 0.452
VALIDATION - Epoch 144 Batch 0: loss 0.0233610812574625, f1 0.424, prec 0.828, rec 0.285
VALIDATION - Epoch 144 Batch 10: loss 0.024690331891179085, f1 0.373, prec 0.819, rec 0.241
VALIDATION - Epoch 144 Batch 20: loss 0.020402230322360992, f1 0.465, prec 0.857, rec 0.319
TRAINING - Epoch 145 Batch 0: loss 0.020658647641539574, f1 0.47,  prec 0.74, rec 0.344
TRAINING - Epoch 145 Batch 10: loss 0.018742937594652176, f1 0.554,  prec 0.669, rec 0.473
TRAINING - Epoch 145 Batch 20: loss 0.019509803503751755, f1 0.497,  prec 0.71, rec 0.383
TRAINING - Epoch 145 Batch 30: loss 0.01850833371281624, f1 0.556,  prec 0.781, rec 0.431
TRAINING - Epoch 145 Batch 40: loss 0.017917899414896965, f1 0.552,  prec 0.697, rec 0.456
TRAINING - Epoch 145 Batch 50: loss 0.016160104423761368, f1 0.483,  prec 0.895, rec 0.33
VALIDATION - Epoch 145 Batch 0: loss 0.02484484389424324, f1 0.356, prec 0.659, rec 0.244
VALIDATION - Epoch 145 Batch 10: loss 0.025666242465376854, f1 0.472, prec 0.754, rec 0.343
VALIDATION - Epoch 145 Batch 20: loss 0.02558913640677929, f1 0.424, prec 0.722, rec 0.3
TRAINING - Epoch 146 Batch 0: loss 0.018927371129393578, f1 0.524,  prec 0.739, rec 0.406
TRAINING - Epoch 146 Batch 10: loss 0.01685435324907303, f1 0.575,  prec 0.767, rec 0.46
TRAINING - Epoch 146 Batch 20: loss 0.018498826771974564, f1 0.545,  prec 0.78, rec 0.418
TRAINING - Epoch 146 Batch 30: loss 0.016910208389163017, f1 0.503,  prec 0.69, rec 0.396
TRAINING - Epoch 146 Batch 40: loss 0.018200427293777466, f1 0.481,  prec 0.891, rec 0.329
TRAINING - Epoch 146 Batch 50: loss 0.019756624475121498, f1 0.543,  prec 0.864, rec 0.396
VALIDATION - Epoch 146 Batch 0: loss 0.023724306374788284, f1 0.43, prec 0.706, rec 0.309
VALIDATION - Epoch 146 Batch 10: loss 0.023243341594934464, f1 0.431, prec 0.78, rec 0.298
VALIDATION - Epoch 146 Batch 20: loss 0.022517768666148186, f1 0.48, prec 0.777, rec 0.347
TRAINING - Epoch 147 Batch 0: loss 0.018233701586723328, f1 0.553,  prec 0.723, rec 0.448
TRAINING - Epoch 147 Batch 10: loss 0.017862260341644287, f1 0.489,  prec 0.821, rec 0.348
TRAINING - Epoch 147 Batch 20: loss 0.017804553732275963, f1 0.461,  prec 0.949, rec 0.305
TRAINING - Epoch 147 Batch 30: loss 0.019956074655056, f1 0.52,  prec 0.766, rec 0.394
TRAINING - Epoch 147 Batch 40: loss 0.016921693459153175, f1 0.53,  prec 0.795, rec 0.398
TRAINING - Epoch 147 Batch 50: loss 0.01748012565076351, f1 0.43,  prec 0.833, rec 0.29
VALIDATION - Epoch 147 Batch 0: loss 0.025239769369363785, f1 0.482, prec 0.736, rec 0.358
VALIDATION - Epoch 147 Batch 10: loss 0.019797708839178085, f1 0.528, prec 0.733, rec 0.413
VALIDATION - Epoch 147 Batch 20: loss 0.020602833479642868, f1 0.488, prec 0.692, rec 0.377
TRAINING - Epoch 148 Batch 0: loss 0.018219292163848877, f1 0.595,  prec 0.716, rec 0.51
TRAINING - Epoch 148 Batch 10: loss 0.01891525462269783, f1 0.51,  prec 0.813, rec 0.372
TRAINING - Epoch 148 Batch 20: loss 0.019833428785204887, f1 0.527,  prec 0.71, rec 0.42
TRAINING - Epoch 148 Batch 30: loss 0.01950978673994541, f1 0.514,  prec 0.734, rec 0.395
TRAINING - Epoch 148 Batch 40: loss 0.018803797662258148, f1 0.507,  prec 0.679, rec 0.405
TRAINING - Epoch 148 Batch 50: loss 0.022657986730337143, f1 0.435,  prec 0.867, rec 0.29
VALIDATION - Epoch 148 Batch 0: loss 0.02370510809123516, f1 0.412, prec 0.75, rec 0.284
VALIDATION - Epoch 148 Batch 10: loss 0.026543976739048958, f1 0.424, prec 0.833, rec 0.284
VALIDATION - Epoch 148 Batch 20: loss 0.02392822690308094, f1 0.376, prec 0.793, rec 0.246
TRAINING - Epoch 149 Batch 0: loss 0.01795188896358013, f1 0.5,  prec 0.803, rec 0.363
TRAINING - Epoch 149 Batch 10: loss 0.016836849972605705, f1 0.503,  prec 0.724, rec 0.386
TRAINING - Epoch 149 Batch 20: loss 0.019482672214508057, f1 0.508,  prec 0.797, rec 0.373
TRAINING - Epoch 149 Batch 30: loss 0.019641496241092682, f1 0.486,  prec 0.854, rec 0.34
TRAINING - Epoch 149 Batch 40: loss 0.01901993714272976, f1 0.549,  prec 0.611, rec 0.498
TRAINING - Epoch 149 Batch 50: loss 0.02117299661040306, f1 0.462,  prec 0.84, rec 0.318
VALIDATION - Epoch 149 Batch 0: loss 0.023278754204511642, f1 0.402, prec 0.747, rec 0.275
VALIDATION - Epoch 149 Batch 10: loss 0.025610215961933136, f1 0.399, prec 0.694, rec 0.28
VALIDATION - Epoch 149 Batch 20: loss 0.022405561059713364, f1 0.393, prec 0.767, rec 0.264
TRAINING - Epoch 150 Batch 0: loss 0.01503337174654007, f1 0.493,  prec 0.808, rec 0.354
TRAINING - Epoch 150 Batch 10: loss 0.021308163180947304, f1 0.532,  prec 0.615, rec 0.468
TRAINING - Epoch 150 Batch 20: loss 0.01890266314148903, f1 0.501,  prec 0.778, rec 0.37
TRAINING - Epoch 150 Batch 30: loss 0.01905069686472416, f1 0.496,  prec 0.645, rec 0.403
TRAINING - Epoch 150 Batch 40: loss 0.019381098449230194, f1 0.475,  prec 0.792, rec 0.339
TRAINING - Epoch 150 Batch 50: loss 0.020202655345201492, f1 0.558,  prec 0.665, rec 0.48
VALIDATION - Epoch 150 Batch 0: loss 0.020782500505447388, f1 0.522, prec 0.705, rec 0.414
VALIDATION - Epoch 150 Batch 10: loss 0.024206582456827164, f1 0.495, prec 0.705, rec 0.382
VALIDATION - Epoch 150 Batch 20: loss 0.02357175201177597, f1 0.494, prec 0.689, rec 0.385
TRAINING - Epoch 151 Batch 0: loss 0.020499562844634056, f1 0.555,  prec 0.665, rec 0.476
TRAINING - Epoch 151 Batch 10: loss 0.015891699120402336, f1 0.586,  prec 0.849, rec 0.447
TRAINING - Epoch 151 Batch 20: loss 0.021037103608250618, f1 0.539,  prec 0.734, rec 0.426
TRAINING - Epoch 151 Batch 30: loss 0.018511224538087845, f1 0.541,  prec 0.79, rec 0.411
TRAINING - Epoch 151 Batch 40: loss 0.01757143624126911, f1 0.451,  prec 0.812, rec 0.312
TRAINING - Epoch 151 Batch 50: loss 0.018232159316539764, f1 0.574,  prec 0.818, rec 0.442
VALIDATION - Epoch 151 Batch 0: loss 0.020744645968079567, f1 0.465, prec 0.695, rec 0.349
VALIDATION - Epoch 151 Batch 10: loss 0.02377086505293846, f1 0.477, prec 0.726, rec 0.355
VALIDATION - Epoch 151 Batch 20: loss 0.02372543327510357, f1 0.472, prec 0.702, rec 0.355
TRAINING - Epoch 152 Batch 0: loss 0.01705450937151909, f1 0.583,  prec 0.724, rec 0.488
TRAINING - Epoch 152 Batch 10: loss 0.0171851497143507, f1 0.56,  prec 0.783, rec 0.436
TRAINING - Epoch 152 Batch 20: loss 0.017950501292943954, f1 0.393,  prec 0.905, rec 0.251
TRAINING - Epoch 152 Batch 30: loss 0.01928769052028656, f1 0.503,  prec 0.841, rec 0.358
TRAINING - Epoch 152 Batch 40: loss 0.02022908441722393, f1 0.584,  prec 0.717, rec 0.493
TRAINING - Epoch 152 Batch 50: loss 0.017065947875380516, f1 0.5,  prec 0.704, rec 0.388
VALIDATION - Epoch 152 Batch 0: loss 0.020898936316370964, f1 0.484, prec 0.698, rec 0.37
VALIDATION - Epoch 152 Batch 10: loss 0.02106623537838459, f1 0.437, prec 0.703, rec 0.317
VALIDATION - Epoch 152 Batch 20: loss 0.02375185117125511, f1 0.445, prec 0.669, rec 0.333
TRAINING - Epoch 153 Batch 0: loss 0.01970789209008217, f1 0.514,  prec 0.737, rec 0.395
TRAINING - Epoch 153 Batch 10: loss 0.01916079968214035, f1 0.482,  prec 0.711, rec 0.365
TRAINING - Epoch 153 Batch 20: loss 0.01951710134744644, f1 0.475,  prec 0.723, rec 0.354
TRAINING - Epoch 153 Batch 30: loss 0.017855942249298096, f1 0.614,  prec 0.768, rec 0.511
TRAINING - Epoch 153 Batch 40: loss 0.01970241777598858, f1 0.466,  prec 0.895, rec 0.315
TRAINING - Epoch 153 Batch 50: loss 0.01954789087176323, f1 0.541,  prec 0.704, rec 0.439
VALIDATION - Epoch 153 Batch 0: loss 0.02420068345963955, f1 0.403, prec 0.661, rec 0.29
VALIDATION - Epoch 153 Batch 10: loss 0.025249218568205833, f1 0.423, prec 0.692, rec 0.305
VALIDATION - Epoch 153 Batch 20: loss 0.02399587817490101, f1 0.404, prec 0.676, rec 0.289
TRAINING - Epoch 154 Batch 0: loss 0.018686771392822266, f1 0.485,  prec 0.699, rec 0.371
TRAINING - Epoch 154 Batch 10: loss 0.015599001199007034, f1 0.482,  prec 0.857, rec 0.335
TRAINING - Epoch 154 Batch 20: loss 0.02105741947889328, f1 0.581,  prec 0.707, rec 0.494
TRAINING - Epoch 154 Batch 30: loss 0.01783265732228756, f1 0.519,  prec 0.669, rec 0.423
TRAINING - Epoch 154 Batch 40: loss 0.019275283440947533, f1 0.544,  prec 0.815, rec 0.408
TRAINING - Epoch 154 Batch 50: loss 0.018284820020198822, f1 0.574,  prec 0.736, rec 0.471
VALIDATION - Epoch 154 Batch 0: loss 0.024284860119223595, f1 0.425, prec 0.658, rec 0.313
VALIDATION - Epoch 154 Batch 10: loss 0.021288348361849785, f1 0.562, prec 0.738, rec 0.454
VALIDATION - Epoch 154 Batch 20: loss 0.026046162471175194, f1 0.449, prec 0.726, rec 0.325
TRAINING - Epoch 155 Batch 0: loss 0.01909218356013298, f1 0.521,  prec 0.667, rec 0.428
TRAINING - Epoch 155 Batch 10: loss 0.017439253628253937, f1 0.5,  prec 0.783, rec 0.367
TRAINING - Epoch 155 Batch 20: loss 0.017945554107427597, f1 0.561,  prec 0.711, rec 0.463
TRAINING - Epoch 155 Batch 30: loss 0.02142389863729477, f1 0.37,  prec 0.855, rec 0.236
TRAINING - Epoch 155 Batch 40: loss 0.01862618885934353, f1 0.448,  prec 0.768, rec 0.317
TRAINING - Epoch 155 Batch 50: loss 0.015124986879527569, f1 0.583,  prec 0.811, rec 0.455
VALIDATION - Epoch 155 Batch 0: loss 0.026461061090230942, f1 0.46, prec 0.636, rec 0.36
VALIDATION - Epoch 155 Batch 10: loss 0.023697448894381523, f1 0.501, prec 0.646, rec 0.409
VALIDATION - Epoch 155 Batch 20: loss 0.025475438684225082, f1 0.483, prec 0.731, rec 0.361
TRAINING - Epoch 156 Batch 0: loss 0.02030293084681034, f1 0.557,  prec 0.678, rec 0.473
TRAINING - Epoch 156 Batch 10: loss 0.017239367589354515, f1 0.555,  prec 0.77, rec 0.434
TRAINING - Epoch 156 Batch 20: loss 0.016921011731028557, f1 0.475,  prec 0.755, rec 0.346
TRAINING - Epoch 156 Batch 30: loss 0.017904022708535194, f1 0.566,  prec 0.773, rec 0.446
TRAINING - Epoch 156 Batch 40: loss 0.016887962818145752, f1 0.499,  prec 0.75, rec 0.373
TRAINING - Epoch 156 Batch 50: loss 0.01836405135691166, f1 0.551,  prec 0.72, rec 0.446
VALIDATION - Epoch 156 Batch 0: loss 0.02206886000931263, f1 0.428, prec 0.804, rec 0.291
VALIDATION - Epoch 156 Batch 10: loss 0.02253996953368187, f1 0.382, prec 0.848, rec 0.246
